FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
282set,33-16,-0.0155181,0.0358313,-0.00904438,0.00767922,-0.0379769,-0.00118963,-0.0178065,-0.00404215,0.00639416,0.0112271,0.00299583,0.0427973,-0.00901627,-0.00471065,0.0559873,-0.0114283,-0.00296312,0.0381385,0.0655977,0.0365058
282set,38-11Goodman-Buckler,-0.0405464,0.03797,0.00755179,-0.00685311,-0.0301401,-0.0349674,0.0336998,-0.0435671,0.114941,-0.0188075,0.0130701,-0.0215083,0.0193141,-0.0486605,-0.0648931,-0.0554621,0.0847597,-0.0114594,-0.0974393,0.00831385
282set,4226,-0.0132543,0.0306076,-0.0090114,0.00755871,-0.020484,-0.00550748,0.0341589,-0.0577174,0.0292505,-0.0571749,-0.0138832,0.0478559,-0.0776467,0.00545327,0.0239667,-0.00294782,-0.0111634,0.0304103,-0.0295511,-0.0129221
282set,4722,-0.0246142,0.0920462,-0.22294,-0.0674271,0.0770008,0.0582193,0.111875,0.0943551,0.0170346,0.0137435,0.0167852,-0.0195917,0.0398801,-0.024579,-0.0363462,-0.00203587,-0.0198727,0.0145858,0.0214501,0.0264197
282set,A6,0.0836813,-0.0398345,-0.011058,0.0389833,0.0250688,-0.00898356,-0.004072,0.0213229,0.00469083,-0.011292,-0.0576963,0.0180525,0.0543044,-0.00203195,0.0293768,0.00247597,0.00058557,-0.0154837,0.0188411,-0.0643198
282set,A188,-0.0138463,0.0469321,0.00121208,0.00287239,0.00209505,0.000885155,-0.00979031,-0.0190788,0.0157074,-0.00638157,-0.0285976,0.0374448,-0.0422298,0.0245953,0.0314166,-0.0135737,0.00912905,0.0287308,0.0122991,-0.0009446
282set,A214NGoodman-Buckler,-0.0544626,-0.0930842,-0.00311946,0.0907438,-0.0628716,0.165143,-0.00752537,0.0883238,0.0386626,0.0360499,-0.0122019,-0.0298695,0.0231734,0.0461709,0.0108067,-0.0337955,0.012297,-0.00345427,0.0210345,-0.0190839
282set,A239,-0.029017,0.0163904,0.0114376,0.0115533,-0.0541604,-0.0219934,0.0478656,-0.0313263,0.0408697,-0.0485539,-0.0112566,-0.00341673,-0.0872977,-0.0206982,-0.085925,-0.00233933,0.0792048,-0.0193575,-0.174107,0.000776082
282set,A441-5,0.0137139,0.014543,-0.00439852,0.0243674,0.0085686,0.00308663,0.00481132,-0.0101195,-0.00943317,-0.0419292,-0.0166956,0.0210052,-0.0216383,0.00739312,0.00561834,0.0200921,0.00395772,-0.0255944,0.023183,-0.00521626
282set,A554,-0.0240115,0.0308804,0.0150703,0.0147995,-0.0272032,-0.0242466,0.0795425,-0.109939,0.0263433,-0.0316031,0.0404689,-0.0526349,0.0487595,0.0169016,0.0677762,0.019026,-0.0399495,0.0361643,-0.0355799,-0.0161172
282set,A556,-0.028625,0.0333565,0.00374344,0.00377595,-0.0477703,-0.038013,-0.00888317,-0.00520338,-0.0231144,-0.0277674,-0.0133489,-0.0070834,-0.0221061,0.0219254,-0.0229349,0.0146919,0.0288901,-0.013448,-0.0295332,-0.0547042
282set,A619,-0.044544,0.0793589,0.0276747,-0.0523425,-0.176847,-0.168281,-0.0630577,0.246058,-0.0958168,-0.0162926,-0.00484854,-0.0497562,0.0596431,0.0374167,-0.00162911,0.0168369,-0.0211055,-0.0178813,0.0432389,-0.00288472
282set,A632,-0.101244,-0.0984104,0.00255916,0.0860535,-0.0840044,0.196964,-0.00343342,0.0699976,0.0405573,0.0535031,-0.00101583,-0.00941632,0.0243259,0.0143252,0.000301303,-0.00687218,-0.0121461,-0.0131932,0.0148778,-0.000835965
282set,A634,-0.0906316,-0.0885938,0.00299518,0.0770901,-0.0705756,0.174447,-0.00407971,0.0658999,0.0285348,0.0400268,0.0106739,-0.0218148,0.0378969,0.0109926,-0.000771932,-0.00919983,-0.0140475,-0.00618408,0.0236362,0.0149231
